pathway	description	VDMT001-1	VDMT001-14	VDMT001-15	VDMT001-7	VDMT002-1	VDMT002-14	VDMT002-15	VDMT002-7	VDMT003-1	VDMT003-14	VDMT003-15	VDMT003-7	VDMT004-1	VDMT004-14	VDMT004-15	VDMT004-7	VDMT005-1	VDMT005-14	VDMT005-15	VDMT005-7	VDMT006-1	VDMT006-14	VDMT006-15	VDMT006-7	VDMT007-1	VDMT007-14	VDMT007-15	VDMT007-7	VDMT008-1	VDMT008-14	VDMT008-15	VDMT008-7	VDMT009-1	VDMT009-14	VDMT009-15	VDMT009-7	VDMT010-1	VDMT010-14	VDMT010-15	VDMT010-7	VDMT011-1	VDMT011-14	VDMT011-15	VDMT011-7	VDMT012-1	VDMT012-14	VDMT012-15	VDMT012-7	VDMT013-1	VDMT013-14	VDMT013-15	VDMT013-7	VDMT014-1	VDMT014-14	VDMT014-15	VDMT014-7	VDMT015-1	VDMT015-14	VDMT015-15	VDMT015-7	VDMT016-1	VDMT016-14	VDMT016-15	VDMT016-7	VDMT017-1	VDMT017-14	VDMT017-15	VDMT017-7	VDMT018-1	VDMT018-14	VDMT018-15	VDMT018-7	VDMT019-1	VDMT019-14	VDMT019-15	VDMT019-7	VDMT020-1	VDMT020-14	VDMT020-15	VDMT020-7	VDMT022-1	VDMT022-14	VDMT022-15	VDMT022-7	VDMT023-1	VDMT023-14	VDMT023-15	VDMT023-7	VDMT024-1	VDMT024-14	VDMT024-15	VDMT024-7	VDMT025-1	VDMT025-14	VDMT025-15	VDMT025-7	VDMT026-1	VDMT026-14	VDMT026-15	VDMT026-7	VDMT027-1	VDMT027-14	VDMT027-15	VDMT027-7	VDMT028-1	VDMT028-14	VDMT028-15	VDMT028-7	VDMT029-1	VDMT029-14	VDMT029-15	VDMT029-7	VDMT030-1	VDMT030-14	VDMT030-15	VDMT030-7	VDMT031-1	VDMT031-14	VDMT031-15	VDMT031-7	VDMT032-1	VDMT032-14	VDMT032-15	VDMT032-7	VDMT033-1	VDMT033-14	VDMT033-15	VDMT033-7	VDMT034-1	VDMT034-14	VDMT034-15	VDMT034-7	VDMT035-1	VDMT035-14	VDMT035-15	VDMT035-7	VDMT036-1	VDMT036-14	VDMT036-15	VDMT036-7	VDMT037-1	VDMT037-14	VDMT037-15	VDMT037-7	VDMT038-1	VDMT038-14	VDMT038-15	VDMT038-7	VDMT040-1	VDMT040-14	VDMT040-15	VDMT040-7	VDMT041-1	VDMT041-14	VDMT041-15	VDMT041-7	VDMT042-1	VDMT042-14	VDMT042-15	VDMT042-7	VDMT043-1	VDMT043-14	VDMT043-15	VDMT043-7	VDMT044-1	VDMT044-14	VDMT044-15	VDMT044-7
PANTOSYN-PWY	pantothenate and coenzyme A biosynthesis I	29567.1812	18195.133	21297.4516	29143.7619	31750.9543	13742.3861	21316.6862	13409.5038	15953.0086	7104.9828	5415.2234	7591.6421	39331.0341	22981.5199	18698.3364	25383.2374	23426.7236	17623.7823	17543.6782	24317.5196	29209.5027	23026.7089	23586.8372	29249.8056	33922.1817	25340.2918	24035.5326	38878.4653	26211.8743	21281.5977	28672.627	21467.6164	30680.4942	28425.6086	34432.4688	30562.4079	16716.6787	18328.3754	18203.6579	21113.1585	16561.0862	14760.8954	16377.3401	17697.3813	23800.3636	18566.6354	22197.3702	18143.532	20668.5084	16491.9923	17118.9213	20207.8225	22165.1232	17016.2226	16229.3185	20835.1576	20517.0186	20199.2607	22778.4746	18560.8776	7720.5537	13438.6061	16910.4661	22806.1046	22401.2785	17787.4153	22198.0397	26486.7717	22652.3971	20154.5148	30636.0005	22140.2405	19665.652	17255.0821	20998.2171	28476.3266	23366.9841	17399.381	14783.1311	22920.4264	18466.1236	17549.0828	25593.0692	19956.5712	25916.0409	26937.4451	32443.7445	38530.6219	34590.905	6190.704000000001	28815.7767	39933.3452	26004.1125	22602.5109	36611.1777	20872.5297	33094.2518	23269.8317	22515.2563	44941.255999999994	29135.4269	21565.8573	24266.5554	31016.4535	30666.1137	24365.0639	35521.2188	9516.0438	23074.3502	13456.9147	20872.8809	29017.8084	17221.4829	16111.4536	23807.0907	25913.9562	13414.841999999999	19782.5866	27074.037999999997	15646.9913	20935.4524	18338.1382	27584.7509	28148.1278	21240.3481	19862.3633	30664.604	28594.3671	19316.5958	21308.9688	28456.4611	21632.5443	18601.5778	18279.4356	14517.7823	17181.7203	18243.4006	18745.1943	20065.7216	22326.797000000002	13456.3846	19548.6298	29928.6765	18838.1347	22321.1343	19955.3028	19136.1776	27305.8934	21963.6297	17537.935	21595.0924	22210.0872	20313.1918	25784.0045	40859.3327	25473.8829	28862.4195	23035.3874	24644.6301	31783.5929	23554.1501	19083.2464	32777.9701	26353.7876	22040.4572	33345.4529	36147.3255	35883.7892
PENTOSE-P-PWY	pentose phosphate pathway	15509.0286	10289.8899	9779.148000000001	18305.1676	16761.6185	6206.428000000001	6858.807	7045.3115	11225.3233	3191.7049	2497.8921	8724.2886	19610.7557	7947.9162	6176.6051	9892.2087	19104.7627	5302.6961	13831.716999999999	22210.5641	14207.0856	13351.4028	8303.5938	14385.2817	16480.4015	14944.678999999998	9690.7822	18170.645	18144.1346	9562.9675	5461.7292	8561.6961	11356.3129	17366.5712	17288.2569	18439.8765	8824.071	9778.9865	7839.6325	9074.2432	14303.3738	4261.9406	11606.6171	12264.726	14880.698999999999	14784.1338	10678.7263	13167.0866	8218.5778	6953.2357	10971.6217	10163.3678	18772.9267	9834.3145	12927.0404	12223.5971	6994.2256	12171.4552	8144.9538	11003.8334	8579.8939	5114.0614	6661.0617	10259.3107	10496.8084	15380.9819	17823.3825	15797.2819	7451.6136	10203.1087	9854.8538	7300.871	11408.621000000001	12237.3741	12486.0379	14166.1379	15342.5786	10355.3045	10887.921	19933.2721	11179.2491	9572.5725	13923.0983	13739.5541	20557.5784	24341.3785	25249.5558	20848.4929	10098.6943	7585.9424	10786.8018	24179.0669	9513.2281	12188.4441	18481.876	10465.8113	16238.9707	11311.3363	12050.3996	25073.9064	22540.9351	13324.8204	13565.1235	25132.7393	11272.5385	9127.6	14649.0723	3657.8919	13428.7783	8936.2109	11547.248	15900.1278	8479.0682	6495.4416	8298.0594	10648.198999999999	4304.8017	7794.5838	17510.6423	6042.3753	14070.4101	13179.8217	20337.0645	22100.9824	24053.5576	16922.7356	21112.8257	11182.5724	11640.3392	16187.4399	23033.0905	19019.6344	11562.8677	19826.2074	11193.6416	15402.2092	6899.9039	5591.1984	6579.6167	8531.8293	6920.0894	13041.8182	14342.1663	15042.9622	9489.8013	18610.101000000002	8516.4813	14202.7474	13460.6753	9043.4154	11271.5742	12534.5971	10569.4669	15371.4492	16455.2538	11537.8037	19250.8763	13798.6232	17127.501	8620.4351	21756.2055	16102.5314	35990.2297	22622.6668	7268.0529	8991.1165	8882.6676	11145.2314
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	48526.6938	26321.093999999997	32663.4225	39701.3058	45812.1946	19417.8414	31049.3204	19552.0809	21163.2672	10231.6753	7957.4075	10209.8498	54512.2274	43275.0168	29607.0605	35957.248	36479.4544	28058.1155	28808.7054	41051.5532	39984.0908	34208.1703	35728.8607	43123.6944	47441.7158	37155.3981	38607.9057	55118.0564	40368.6139	32443.1764	42523.8576	35198.6181	42564.113	40861.2642	47401.5831	44903.0794	24347.7057	26940.647999999997	27995.2676	31222.8141	26583.882999999998	20668.3355	24022.6008	26438.238999999998	31006.4024	26023.2117	28952.3597	26499.4386	31350.0377	24364.4879	24156.6795	30616.9017	32038.9226	22579.3788	25003.3491	31606.4249	29482.4177	30743.9897	33023.3261	27601.368	10168.2431	21605.8758	29293.356	34497.7523	32369.3132	29633.1126	33373.9741	41961.0417	32457.7649	30812.5412	44055.4948	32534.1015	41187.2996	33473.8769	36785.2346	41084.2623	36919.2098	24757.9957	21856.6548	36893.4401	26135.1916	27290.6755	37852.8311	31309.3835	35223.0281	32008.1646	41929.2054	57037.7252	50236.0292	7785.173000000001	39177.8719	59661.6337	35143.6921	32968.7307	52477.6119	29900.8868	53387.8851	34413.2417	33360.0021	67025.8308	45790.4238	31535.6011	39132.4875	50056.0173	47959.8286	37180.1502	58609.1809	13825.1532	32695.83	19782.7838	30475.3727	39516.8525	30400.8649	25571.8507	35543.1311	39417.712999999996	18891.7266	32781.8638	42124.505999999994	24176.4927	25241.9129	25293.0379	34301.1386	37148.5845	41242.5875	26269.406000000003	50768.3881	46354.4124	29444.4343	33804.2548	44752.9175	38053.9323	25356.3255	30126.353	23224.6088	25606.3315	30297.5042	25460.947	31491.0761	35472.2856	21489.2813	31069.4758	45957.5174	32763.1838	33270.5258	31927.3062	28784.1588	40396.6291	36943.0519	27110.0891	40324.7452	35042.3561	27304.7733	35571.9365	61944.81	35532.9615	38028.5905	34031.3776	35682.3757	59118.9716	40770.9919	33400.8783	43065.4459	36423.8506	32197.6687	46801.3085	51776.736	49200.5467
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	53969.8067	29813.9406	36743.4748	44478.5071	51309.5849	22389.6651	35065.2327	22608.6556	24296.9237	11758.7796	9179.7593	11690.9135	59250.133	47146.0179	33060.3833	40296.1093	39909.7871	32276.159	31726.4825	44191.597	43796.9339	38705.067	40900.6623	48861.9674	52295.6967	41316.0526	43316.1997	61140.0069	44585.3556	37232.2901	49469.0054	40071.0192	49122.3171	45944.2692	54387.7991	50564.8806	27266.0401	30125.06	32421.5336	35449.5995	29387.1512	23278.7158	27074.9601	28899.0597	32821.6019	27942.6891	33697.7802	30371.9381	35947.3462	27195.2907	26146.506	34478.559	33891.6334	23879.2237	29277.3181	35600.8119	34013.511	35054.2427	38031.1343	30454.1719	11818.4248	24559.4616	31640.8416	40443.2321	36524.1158	32623.3781	38109.7678	46844.8038	37375.6066	35198.0633	50463.8159	37045.8936	48524.6471	39236.4732	43563.6068	46857.005	41590.7111	27599.897999999997	24811.7655	39186.8197	30746.0502	31215.5021	43502.4212	36835.5789	38946.6429	33419.3091	47149.6097	65191.6059	55728.2457	9006.2978	43412.9188	65496.5744	39218.4876	37976.7595	59154.3889	34079.4216	58117.1795	39480.8168	38122.7555	73554.7647	51356.4829	35807.3371	45319.3086	55634.3344	55209.1902	42823.706	67812.0612	15969.0696	38435.1631	22426.192000000003	35182.1353	46085.9171	34493.3223	29649.0029	40448.4073	44471.027	21292.1741	36864.4875	48146.2427	28025.0126	28889.4472	29415.8292	38235.7218	42847.5539	45024.5112	28024.6839	50893.4594	49451.1612	33505.0729	38480.6935	50971.3699	42988.1037	29155.3943	32317.5065	24843.2328	28040.8208	32702.3227	29230.9805	35743.6492	37073.625	24596.7865	35308.099	52012.4817	37128.5861	38332.2912	34589.896	32666.3562	45674.9766	41386.9784	30768.6579	45478.357	39293.1982	29361.816000000003	38356.6954	67781.2297	39303.1851	39965.0769	38961.4959	39259.5547	66131.9654	44733.3078	36521.6495	43998.8796	38159.9523	35943.3527	52661.6344	58197.3763	53633.5392
POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II	6143.5761	2655.3092	2255.7514	5180.3564	2568.505	1466.0516	1856.7913	1875.2718	1618.4895	1032.7645	700.8247	1747.4114	8252.9482	2346.6246	2338.7059	4951.1715	1586.5422	1409.4758	2592.5194	634.0961	1268.1661	1425.9759	4036.0776	3100.0874	7943.8241	3644.0304	3251.7043	9083.2408	3551.478	3589.409	2072.8241	3338.7497	4447.5192	2062.5125	3533.2954	1893.2835	1422.7907	3136.028	2842.1833	3400.2833	1417.1641	1451.5291	403.5394	1138.4128	1304.7201	1005.393	3204.5992	2945.1089	3618.4818	3333.9508	4061.4238	4945.6847	529.1455	301.2523	2472.9744	1598.0652	1298.3583	832.7341	1145.0910000000001	2416.8798	1644.5376	3478.3603	3108.1479	6274.7783	2326.1191	4463.9881	2339.0201	2203.4056	1511.8197	324.0792	1590.2578	1685.3192	1174.0834	2068.0864	1335.4615	4914.0827	1639.9873	1787.0182	2167.7764	704.3016	3308.6711	276.4088	5157.7403	3330.3636	8700.4806	3897.9102	4700.7744	7671.2419	3961.1115	1609.2151	2675.3382	3428.6651	1938.2736	1792.0627	3717.4404	2315.5064	7723.0521	3899.9476	3932.1574	10167.4167	6784.959	3622.1845	4041.5711	6228.4441	2312.8538	2541.3819	3082.5414	1223.298	755.4708	3221.6090000000004	2534.3138	2471.2716	996.5628	1557.4409	2766.7923	3311.6944	2350.1691	3850.2282	3702.6778	2537.3111	1821.9458	3073.8194	4095.9248	3882.3797	1636.692	5240.133	7072.3166	398.976	2231.0045	1029.358	1794.8572	4206.5504	2355.8036	1744.8316	3620.3236	4264.5329	0.0	141.6659	651.6466	464.7834	2510.5002	5019.5756	2900.3181	3596.9929	2411.9031	3702.6877	2488.214	2918.1433	1734.1960000000001	2525.145	2572.0657	1209.3306	1958.9677	2935.2685	2935.655	4008.4533	3824.0226	5095.7189	2882.3303	6336.6944	7619.8944	3374.0539	6831.1055	6517.9771	3698.9102	5404.4681	5283.3153	7857.5267
POLYAMSYN-PWY	superpathway of polyamine biosynthesis I	6170.0778	2732.3076	2147.4002	5000.0704	4209.6348	1884.5439999999999	2381.2135	1777.8898	1543.0726	1087.108	844.0731	2036.2714	12380.0754	3499.7844	2200.4574	5877.7262	4538.5276	1354.7326	2589.6756	1521.2506	5073.6736	3534.6294	4274.6819	4018.4064	9581.4927	3508.6055	3065.3986	9562.4425	5591.9444	3582.2378	1995.7951	3353.3916	4343.2012	3434.4696	4587.2051	3162.5234	1361.0435	3031.2829	2695.6571	5384.1063	3147.6237	1383.6866	695.672	2949.5409999999997	4172.5464	2242.7202	3536.3525	2839.3146	3453.2232	3228.0099	4235.0007	4837.1402	516.1817	852.3537	2395.7346	2149.6821	2522.2086	1781.4881	1653.1822	2338.882	2174.0084	3389.337	3048.7763	6058.8079	2257.8146	5514.4407	3822.6109	2132.2791	2832.1809	1490.5228	2558.8229	5961.1305	1103.8051	1967.3278	1248.8977	5587.9908	1554.3314	2316.4892	2467.681	1408.5621	3175.9603	1118.1167	5144.3406	3211.345	9036.181	3871.2718	4527.5079	7435.6085	3889.3619	2721.3061	2551.3964	3306.1393	1839.2197	1743.4078	6757.2295	2221.5474	8343.4688	3827.7764	3898.2301	10198.2569	7084.0778	3570.9586	3949.0726	6699.3494	2337.0636	2960.8109	3178.3333	1383.0719	715.6758	3223.2892	2459.3138	2346.6667	1613.2865	1632.2037	2702.1179	3295.6758	2337.1861	3830.1459999999997	3743.3039	2474.0708	1746.9764	2970.0827	3994.7773	3742.4854	1546.4354	6205.2013	7175.6729	373.3736	2998.3821	1934.7924	2484.1826	4351.2387	2290.311	6329.875	4188.7024	4457.383	85.8384	131.8617	612.4011	432.1581	3438.758	5794.8035	4673.5442	3659.7898	2404.5454	6343.6352	2453.3579	4564.8793	2604.7459	2478.1436	2573.4225	1154.1153	3080.5689	2847.6184	12467.9809	3970.493	3764.1733	5112.6628	3509.8028	6237.5876	7843.505999999999	3324.7713	7897.6592	6549.9674	3697.2740000000003	5468.2144	5644.7102	8103.0538
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (E. coli)	29730.7889	11888.893	7052.5118	28742.1835	18760.5183	4722.3664	11631.4639	4863.8593	10151.2446	2628.7416	2001.3618	8210.8491	16633.4432	33494.1823	6882.5819	8492.6623	14402.1036	2665.9959	10495.6506	17242.7384	15933.7822	9111.2414	6382.3987	11850.8428	12988.5717	10737.9297	4507.6891	14769.5511	15837.6562	6595.5502	3752.0783	6245.1415	10637.0132	14210.5357	14407.1205	12579.9634	6303.7281	6790.9429	2915.3099	6738.3833	9085.4091	8008.3956	10535.4199	11055.1268	16893.1898	12844.8599	9542.4578	7974.7905	4170.6898	8787.0153	12363.1292	9896.6407	18954.6352	14021.5906	6561.9602	9952.9515	2535.1514	4935.0797	5870.3828	11222.9315	8010.359	3466.9657	3183.0159999999996	8655.2667	14179.5097	14603.3693	18478.2843	12143.9066	3079.1627	6062.7277	11982.2239	6014.8308	1405.0656	3426.3038	2059.4263	10425.6781	10166.3195	12043.0881	11170.3771	17220.3358	5498.4961	4328.704000000001	5653.7471	4967.2679	20176.5344	23924.5757	22808.5101	17855.8969	19941.8982	6430.7475	17990.459	25739.1738	15751.4258	6765.7309	17480.2575	11216.6464	34404.4744	9467.9569	10239.9951	34859.285	15054.3196	8163.7781	9026.7745	12049.5792	7957.9946	5850.5817	7704.1781	2576.3631	12809.668	5715.4962	10363.3559	14664.1681	6708.2437	3638.6076	8964.6356	6874.7656	9381.8647	10842.6507	9175.3112	5074.6725	15287.3755	8606.9422	21078.8419	17540.551	5249.5586	14012.0742	12393.7892	3076.0123	8396.2863	6084.9817	6689.5207	6131.5349	10316.49	7103.9387	6957.2313	11899.921999999999	2270.4863	1047.4221	1990.1624	1661.9651	4628.2561	8429.4315	13400.2832	6413.6874	4003.2351	5535.7119	6045.5262	11075.3365	13320.3166	8830.6377	10041.6533	9297.0708	13938.8181	16662.0722	24108.5162	15770.8157	23998.2248	11128.5084	14982.4964	7814.6452	17813.6178	13445.5425	33530.1861	24045.1793	12797.7749	16014.4289	20374.7248	21784.3059
PPGPPMET-PWY	ppGpp biosynthesis	195.3107	318.6056	167.6336	595.4899	369.8488	218.6997	231.40599999999998	174.2641	117.5769	220.2727	174.4998	5354.4531	289.1346	77.4315	238.93400000000003	57.4436	172.8076	79.8537	116.4263	174.9827	47.465	428.0896	611.5606	501.0455	568.8382	201.1075	246.7176	236.4931	1178.494	1391.5513	82.3983	1318.0753	7.9241	463.5822	454.1053	118.1606	155.657	295.3982	82.8016	162.4428	274.3797	197.582	4.1746	178.8386	32.4802	526.5419	257.0066	91.5138	34.5555	186.7456	712.8003	300.2763	77.3917	3.3246	317.9945	83.0947	137.0967	79.0725	166.5887	0.0	5863.0754	323.159	614.8196	219.2903	196.743	29.9828	607.591	159.6318	149.5653	0.0	234.2647	660.3201	32.4842	11.2479	74.0983	12.498	103.1819	206.4197	865.2688	230.8378	350.3256	0.0	490.5819	328.4466	5184.604	1096.5617	7.4993	102.7982	0.0	4083.9309999999996	44.542	1121.1525	5.4245	341.0227	75.1365	224.4877	938.7277	1107.202	851.6410000000001	881.6765	245.2226	220.1022	566.9557	147.0725	159.683	418.4754	387.8692	240.18400000000003	19.9918	834.4055	0.0	0.0	41.6408	334.5513	416.3149	0.0	559.9137	874.9427	831.2998	492.155	480.8841	29.9858	1315.9073	102.3844	114.4331	3713.7634	5042.0536	87.3945	0.0	47.466	0.0	0.0	436.1405	0.0	159.4571	505.274	0.0	68.6475	171.9221	74.8847	366.1342	1422.2783	0.0	167.0178	84.8626	120.632	37.8918	27.4888	33.7348	59.9354	84.4793	7.4991	0.0	47.4673	0.0	305.6964	37.4765	2283.9773	49.5408	87.417	0.0	0.0	3431.04	1570.558	0.0	0.0	13.3228	0.0
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)	31.4275	59.2962	8.369	25.2565	98.0685	63.477	0.0	0.0	0.0	50.332	38.9472	4925.5868	0.0	0.0	40.9094	0.0	29.395	29.7404	0.0	0.0	0.0	0.0	0.0	93.509	104.46	0.0	43.3137	83.5106	97.5822	722.9875	0.0	657.8228	39.2618	76.3954	73.2547	20.997	0.0	98.8149	0.0	107.8841	112.4563	102.5076	0.0	41.266000000000005	0.0	0.0	0.0	0.0	0.0	65.7903	445.8745	168.9298	0.0	0.0	126.9137	32.4538	92.9106	0.0	0.0	0.0	5207.9642	220.5369	359.0592	0.0	0.0	56.0724	0.0	0.0	79.3744	0.0	0.0	442.6	0.0	0.0	0.0	0.0	0.0	68.95	394.4896	0.0	186.5124	0.0	259.9349	0.0	0.0	0.0	0.0	0.0	0.0	2734.1973	0.0	564.2275	0.0	0.0	0.0	74.9531	128.6922	239.2455	187.4487	220.9239	0.0	0.0	99.5829	59.4455	0.0	100.7167	81.0885	0.0	10.6659	215.6066	0.0	0.0	0.0	75.1748	0.0	0.0	0.0	348.9458	337.7933	115.7657	0.0	0.0	8.9995	0.0	14.9987	25.3697	0.0	42.3447	0.0	0.0	0.0	0.0	156.4165	0.0	0.0	36.4639	0.0	0.0	14.9487	7.367999999999999	0.0	0.0	0.0	65.7995	0.0	87.395	0.0	0.0	0.0	0.0	0.0	0.0	154.1973	203.5955	0.0	314.0533	79.2913	1097.0938	134.2793	133.0637	0.0	2.9603	0.0	0.0	0.0	0.0	11.9992	0.0
PRPP-PWY	superpathway of histidine, purine, and pyrimidine biosynthesis	17067.0277	8753.2307	3888.1738	14223.3575	8376.7175	3373.7935	4883.1098	3264.6865	2863.1067	1900.4905	1404.0232	8728.2353	16484.2922	2284.2776	2172.2876	8301.7456	8355.2513	2664.301	4519.0357	8466.0952	6550.4644	4569.1322	5598.6636	6825.3038	12363.4947	4033.0828	2793.9998	13105.4024	11657.7636	7908.0795	2430.4044	7949.5263	4602.2794	6100.6072	6947.3166	4477.1081	3024.4507	2911.3427	874.2929	2283.3816	6137.814	2989.083	3059.8047	6410.2765	6456.3435	4964.0292	4410.8424	5181.2709	2724.3152	4196.0375	8598.6172	5228.8157	4319.8223	3745.1622	4402.6745	4894.1005	2766.6743	5810.0752	2662.1675	5711.2236	8726.3431	3380.2591	4390.9588	3472.0485	6113.1234	10601.0579	12209.8024	7117.8437	3560.1118	1277.2355	2913.6297	5208.6944	654.2577	691.8961	960.0138	2426.8677	3135.8143	6369.7485	8374.4908	8598.0812	4796.6285	763.9617	7142.7225	5794.8102	16533.0634	10889.9096	5914.7941	4225.769	11053.9015	6943.4875	4672.5614	14058.8614	4831.1553	4994.1213	14462.0769	5291.5175	16827.8937	7758.0212	7404.4052	23776.3285	21149.5564	11750.878	12301.735	18144.8178	6498.1029	4504.5204	5015.6053	1927.724	2371.3578	5431.8458	2813.1816	3733.1417	3261.6467	3509.9794	4820.4198	4284.0857	2929.7027	6967.6587	8308.0815	3823.6243	8911.245	4470.9359	13584.9554	9763.1944	1260.3224	14995.9267	14215.3012	2394.0577	5090.8025	3137.9506	5116.7562	3921.1653	8449.7015	1474.0378	5817.3574	8645.9784	402.9714	694.8172	2278.3909	1331.8679	4269.5724	8649.7074	8668.109	5292.9901	7035.2791	3714.5279	3940.4578	12653.3417	7295.5941	6864.8188	9107.8687	5309.3044	10821.358	10408.8165	24512.5429	14554.3088	12950.5262	11850.0172	19870.9261	5285.3189	7726.1175	7868.4258	25976.109	16193.802	6944.7117	8188.5885	12237.9827	10871.233
PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis I	7048.2108	5089.3163	2710.2983	16581.0931	8074.1067	2044.0283	5267.8262	1818.8287	4776.2785	1278.0643	941.4566	4312.9355	12488.3136	2234.7426	1245.6681	5667.5205	5847.4393	1223.6141	4084.325	6758.2534	7577.4113	3734.482	2978.4544	5104.3209	9616.0423	4635.2831	1968.8144	9571.7544	7123.5653	3497.6912	1312.8809	3127.716	5369.9626	6415.6287	7185.7539	5762.7376	2574.2055	2951.4228	1079.6368	3264.0575	3696.7208	3338.0877	4273.8664	4704.6287	8536.3898	5934.5366	5297.4128	4080.2778	1676.0268	3559.6420000000003	6073.6199	4424.2619	9137.7922	7161.7427	2516.8926	4176.474	1570.5157	2234.0519	1823.6036	5295.1128	4517.1824	2216.549	3000.1502	4362.6712	6602.4783	5722.0406	8774.3735	5113.5547	1914.9571	916.5792	1241.3269	1220.4739	693.2275	1515.7971	984.2003	5217.0456	3750.9322	5529.7929	5342.896	7132.0676	2317.9748	836.2823	4378.5265	1806.2753	11115.4455	15530.0763	11711.6557	7703.5502	10496.465	3138.2821	8746.065	10674.5219	7230.0518	2656.1040000000003	7751.2309	4812.8495	6806.5214	4743.7589	4901.2272	10405.0937	6847.4897	4238.7666	3448.9919	6751.3417	4145.9809	3430.4285	4540.3145	1418.8464	5889.6498	3154.6237	4756.5923	6023.0734	2917.8073	1986.7783	4587.4291	3946.1489	4652.9271	5056.2048	4344.9639	2601.995	7718.1742	3567.6868	11839.5233	8026.8735	638.0363	9647.5426	5286.6507	1121.5406	4192.4729	2741.5119	3008.164	2882.8763	4604.675	3805.4052	3542.9427	5922.2663	220.8882	202.232	1090.6532	426.5143	2397.6687	4545.1071	6481.46	2857.4694	2175.7604	4717.2234	2862.1731	3993.9776	5585.1879	3647.6096	3995.4245	3597.8683	6517.7171	7832.0203	10090.5438	7896.818	12755.8915	5512.8281	5854.345	3640.4852	9379.8424	7116.4836	23418.2898	15619.1943	7190.6303	10991.3182	12110.243	13727.9946
PWY-1422	vitamin E biosynthesis (tocopherols)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.1512	0.0	13.0809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.7232	0.0	5.0823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.6917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1742	0.0	0.0	8.2533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.2631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.840999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-1501	mandelate degradation I	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
